informal,formal
دنیا رو برات خاموش نمیکنه  مرد,دنیا را برای تو خاموش نمی‌کند، مردم.
باز دوباره کنار هم جمع میشیم,دوباره با هم جمع خواهیم شد.
آره  هیکل گنده کنترلشو از دست میده میزنتش,هیکل فردی گنده است که کنترل خود را از دست می‌دهد و تو را می‌زند.
ما توی جهنم هم باهم بودیم,حتی در عذاب جهنم نیز با یکدیگر بودیم
من سیم خاردار می خورم  و بمب آتیش زا می شاشم,من به سیم خاردار عادت دارم و تبدیل به بمب آتشزا می‌شوم.
که خیلی وقت می خواد تا یاد بگیرین,این بسیار زمان بر است تا شما بتوانید آموخت.
می دونی که هیچوقت سر من یه قرون هم از دست دادی,آیا می‌دانید که شما هرگز حتی یک قرون هم از من از دست ندادید؟
خیلی دوست دارم رفتار امروزم با پارسال و پیارسال و,برای من بسیار مورد علاقه است که رفتار امروزم را با سال گذشته و سالی پیش از آن مقایسه کنم.
خوشم اومده  هرگز این اتفاق پیش نمیاد,من راضی شدم، این پیشامد هرگز رخ نمی‌دهد.
هیچوقت با کسی ملاقات نکرده بودم,هرگز با افرادی ملاقات ننموده بودم.
با قواعد خودش بازی کنیم  یعنی غافلگیری,با قواعد خودش بازی کنیم یعنی غافلگیری would be با قواعد خودش بازی کنید یعنی غافلگیر شوید.
هیچی  اون تسخیر شده مرد   درسته  دیوث,هیچ نیست، آن مرد تحت سلطه است، برایست، احمق.
برای همیشه ممنوع الورود بشن  تا شکوهش احیا بشه,برای اینکه شکوهش بازسازی شود، باید به طور دائمی ورود آنها ممنوع شود.
تام  به نظر خوشحال میای,تام به نظر می‌رسد خوشحال است.
واقعا با چسب تو رو بسته به توالت؟,آیا واقعا با چسب شما به توالت چسبیده شده اید؟
فکر کن اشتباهی به جنگ خانواده ی آبراساکس بر خوردیم,بنظر می‌رسد به‌صورت اشتباهی با جنگ خانواده‌ی آبراساکس برخورد کرده‌ایم.
اینکه زیادی با تو زندگی کردم چهره ام رو اینطوری کرده,اینکه من بیش از حد با تو زندگی کرده ام، چهره ام را تغییر داده است.
جفتش  اصلا نمی دونم چرا فکر کردی من می تونم به اونا آموزش بدم,اصلا نمی دانم که چرا فکر کردید که من قادر به آموزش دادن به آنها هستم.
اکنون  ضربه ای مانند آن ضربه که خودت زدی,اکنون ضربه‌ای مانند آن ضربه‌ای که تو زدی
این دروغ وحشتناک؟  نا بخشودنی,آیا این دروغ وحشتناک، غیر قابل بخشوده است؟
قول میدم سخت کار کنم,می‌گویم که سخت کار می‌کنم
صدامون بلنده  ایتن؟   من مت سفم  من مت,صدای من بلند است؟ آیا این بهتر است؟ می‌توانم ادامه دهم؟ من می‌توانم.
باشه دوست من  اون در رو می بینی؟ اونجا,آیا دری را می بینید؟ آنجا.
وقتی بیایم سراغت چیکار میکنی؟,هنگامی که به سراغتان می آییم، چه کاری انجام می دهید؟
مغز فندق برشته   باشه  برشته ست,باشد که مغز فندق برشته است.
بچرخ  آرچیبالد  تو دربارش شنیدی؟,آیا شما از چرخاندن آرچیبالد در دربارش خبر دارید؟
این یکی درایوره,این یکی هم یک درایور است.
من کل زندگیم رو فدای این گروه کردم,کل زندگی خود را به این گروه اختصاص داده‌ام.
خطری که ما باهاش روبرو ایم آینده ایه که توی اون,خطری که با آن مواجهیم، آینده ایست که در آن خواهیم بود.
به رئیس جمهور خبر بدین به هوش اومده,اطلاع بدهید که رئیس جمهور به هوش آمده است.
یکی که خیلی وقت پیش می شناختم  چیزه,یکی را که مدت زیادی پیش می شناختم
جشن سیاه و سفید  دوست دارم ت ثیرگذار باشم,جشن سیاه و سفید را دوست دارم تأثیرگذار باشم.
می بینی که دیگه پول به هیچ دردم نمی خوره,می‌بینید که دیگر پول به هیچ درد من نمی‌خورد.
که احتمالا تو عوض شون می کنی,ممکن است شما تصمیم به تغییر آن‌ها بگیرید.
فکر میکنم میتونی یه چیز خیلی خوبی رو برای خودت محقق کنی,به نظر می‌رسد که شما قادر به ایجاد چیز بسیار عالی برای خود می‌باشید.
افتادیم دنبال  والدو کجاست؟,به دنبال والدو کجاست افتادیم؟
باورش برام سخته که تونسته رادار من رو دور بزنه,باورم سخت است که او توانسته رادار من را دور بزند.
لباسم اینقدر کوتاهه که بدون  در آوردنش می تونی واردم بشی,لباس من به حدی کوتاه است که بدون آن را درآوردن می توانید واردم شوید.
فکر میکنی کی این تفنگ رو واست فرستاده؟,آیا فکر می‌کنید که چه کسی این تفنگ را برای شما ارسال کرده است؟
اون منتظر یه محموله اژدها,او در انتظار یک محموله اژدها است.
اون نشان برمی گرده به اصل و نسب ات کول,آن به ریشه و نسب شما برمیگردد.
اما گذشته فقط مجموعه ای از لحظاته,اما گذشته فقط مجموعه‌ای از لحظه‌ها است.
اونم همچین بچه ی درب وداغون و طردشده ای,او نیز چنان کودکی ناخوشایند و تبعید شده است.
و اجازه دهد برای پاسخ ضربه ای به او بزنم,و اجازه بدهد تا من به او ضربه‌ای بزنم
ولی خونه ی من اینجا پیش اونه,منزل من در اینجا نزد او است.
هرچقدرم از هم ناراحت باشیم یا اینکه بودیم,هرچه که از هم ناراحت هستیم یا بوده‌ایم
دیگه نمی تونیم اینو بگیم  الان میگن مثل آب خوردنه,دیگر نمی توانیم این را بگوییم، حالا می گویند همانند آب خوردن است.
صبر کن  صبر کن  چی؟  داره چه اتفاقی می افته؟,صبر نمایید صبر نمایید، چیست؟ هم اکنون چه واقعه‌ای در حال رخ دادن است؟
دارید خیلی دیر راه میوفتید  می خورید به فصل بهار,شما بسیار دیر به فصل بهار رسیدگی می‌کنید.
در مورد عواقب بعدیش نگران نباش,دربارهٔ پیامدهای بعدی آن نگران نباشید.
نترس به من میتونی بگی  من دوستتم,نترس، به من می‌توانی بگویی که دوستم داری.
من نمردم  مسلم و قطعی ه,من نمردم، مسلم و قطعی است.
حال تاریخچه ی بزرگ م مورین آتش نشانی چترباز  روی شونه های شایسته ی شما می آرمند,تاریخچه بزرگی از ماری مورین، آتش نشان و چترباز، روی شایسته شونه های شما بار می نهد.
بهت برمی     بهت  دالی  گوش کن  بهت برمی گردونم,"""بهت برمی"" تبدیل می‌شود به ""بهت باز می‌گردم""، ""بهت دالی"" تبدیل می‌شود به ""به تو دالی می‌دهم""، ""گوش کن"" تبدیل می‌شود به ""گوش ده"" و ""بهت برمی گردونم"" تبدیل می‌شود به ""به تو باز می‌گردانم""."
یه احساسی بهم میگفت تو میای اینجا,یک احساس در من ایجاد شده بود که شما قصد حضور در این مکان را دارید.
این دقیقا کدوم قسمت حسین آباده؟,این دقیقا کدام بخش حسین آباد است؟
چیزی که باید بهش فکر کنی اون مبارزه ی پیش روئه,چیزی که باید به آن فکر نمایید، مبارزه ی پیش رو است.
جایی که والامقام ما بدون وقفه کار میکنه تا جمعیت  استالینگرد  رو به حالت اول برگردونه,مکانی است که ما به طور مداوم به سمت جمعیت استالینگرد کار میکنیم تا آن را به وضعیت اولیه خود بازگردانیم.
نظرم عوض شد  خلاصش کن,تغییر نظر کردم، آن را تمام کن.
مگه چی از دست میدی؟ اگه اول افرادت پیدا کردن,چه چیزی را از دست می‌دهید اگر افرادتان را بیابید؟
و هر شاهد دیگه ای رو,"""و هر شاهد دیگه ای رو"" in formal Persian could be ""و هر شاهد دیگری را""."
ببین  من همه چیز راجب چیزی که فکر می کنین  تو براکفیلد اتفاق افتاد خوندم,من تمامی مطالبی را که درباره موضوعی که شما به آن فکر می کنید در براکفیلد اتفاق افتاده است، مطالعه کرده‌ام.
حس کردم دیگه بسمه  زندگیم کامل شده,احساس کردم که دیگر به اندازه کافی زندگیم کامل گشته است.
جایی که دقیقا واسه ی مسابقه ساخته شده,محلی که به طور دقیق برای مسابقه طراحی شده است.
اون همیشه صبح زود بیدار میشه  بنابراین,او همیشه سحرگاه بیدار می‌شود.
هر جا که می خواد باشه,او در هر مکانی که بخواهد می‌تواند باشد
من واقعا برات خوشحالم  کاملا لایقشی,من واقعا برای شما خوشحال هستم، شما کاملا لایق آن هستید.
اگه به چیزی که میگم دقیق گوش ندی,اگر به آنچه می‌گویم دقیقاً گوش ندهید.
حقیقتش  یه خدمتکاری هستش که,حقیقتاً او یک خادم است.
باشه  خیلی خب مرسی بابت وقتتون ما ممنونیم  باشه,باشد، بسیار خوب، از وقتی که اختصاص دادید سپاسگزاریم، باشد.
یه علامت حرارتی خاص از خودش نشون میده,یک علامت حرارتی خاص را نشان می‌دهد.
آدمای دیوونه و شرور  اما خب آدمن,ادم‌های دیوانه و شرور هستند، اما خب، انسانی هستند.
و همراه او دفن شد,و همراه او به خاک سپرده شد
بی گمان این جا در میان ما کسی هست,بدون شک در این میان ما، فردی حضور دارد.
تو چی کار  ؟ نه پسره رو با خودت جایی نمیبری,آیا شما چه کاری انجام می‌دهید؟ آیا فرزند مردانه خود را با خود هیچ جایی نمی‌برید؟
هنوز در مورد انجام دادنش فکر نکردم,هنوز دربارهٔ اجرای آن تامل نکرده‌ام.
اون ماسک هوا بهت نمیرسونه نه کوچولو احمق؟,آیا آن ماسک باعث نمی‌شود هوایی به شما برسد، ای کوچک و نادان؟
تمام دهکده بر این نظر بودند,همگی اهالی دهکده با این عقیده بودند.
سلام  خوش اومدین می تونم کمک تون کنم؟,سلام، خوش آمدید، آیا میتوانم به شما کمک کنم؟
بهش بگو بیک میتچوم دستور داده,به او بگویید که من می‌توانم دستوراتی را اعمال کنم.
مثلا  یه بار چوبی باز کنی,لطفا یک بار چوبی باز کنید.
الان توی جاکش داری منو میترسونی,شما اکنون در حال ترساندن من هستید.
از این هم دیگه خوشمون میاد,از این بیشتر به آن علاقه مند هستیم.
کی به اردوگاهش می گه اردوشام؟,آیا کسی به اردوگاه خود منتقل می شود؟
یه دقیقه صبر کن  درباره چی صحبت می کردی؟ چون چند تا چیز کیک کوچیک دیدم,لطفاً یک دقیقه صبر نمایید، درباره چه موضوعی صحبت می‌کنید؟ زیرا چندین مورد کیک کوچک مشاهده کردم.
این شهر تو مشت منه ازت محافظت می کنم,این شهر در دست من است و من از آن محافظت می کنم.
نظرت چیه خودم از خانم پنیبیکر بپرسم؟,آیا من باید نظر خودم را درباره خانم پنیبیکر بپرسم؟
پارتی بدون هیجان فایده نداره نه؟,آیا گردهمایی بدون هیجان ارزشی ندارد؟
الان شاه ها و شاهزاده های دیگه برای پادشاه هدیه های زیاد و بزرگی آوردن,شاهان و شاهزادگان دیگر هدایای بزرگ و فراوانی برای پادشاه به ارمغان آوردند.
من در خدمت هیچکس نیستم,من در خدمت هیچ فردی نیستم.
راستی قراره یه افتتاحیه تو مکزیک داشته باشیم,قرار است که افتتاحیه ای در مکزیک برگزار کنیم.
جناب بی باک  اگه به من بود نمیاوردمت اینجا,اگر در دسترس من بود، شما را به این مکان نمی‌آوردم، جناب بی‌باک
بازار داره از بین میره,بازار در حال نابودی است.
یه تیرانداز اتفاقی توی سالن کنسرت این کار رو کرد,یک تیرانداز به طور اتفاقی این عمل را در سالن کنسرت انجام داد.
مطمئنم که همه هم برای اونا و هم برای ما خوب پیش میره,اطمینان دارم که هم برای آنها و هم برای ما خوب خواهد گذشت.
ممنونم که اینقدر درک می کنی می دونم که مراقبش هستی,از شما سپاسگزارم که به این میزان درک نموده اید. اطمینان دارم که او را نگهداری می کنید.
تو واقعا الان اینو گفتی اهمیت نمیدی,آیا شما واقعا در حال حاضر این را گفتید که اهمیتی نمی‌دهید؟
اومدم اینجا که پیش زنم باشم,به این مکان آمدم تا با همسرم باشم.
می دونی؟ چرا با هم حرف نمیزنن؟,آیا می‌دانید؟ چرا با یکدیگر صحبت نمی‌کنند؟
من که نمیفهمم دارید از چی حرف میزنید,من نمی‌فهمم شما درباره چه موضوعی سخن می‌گویید.
اگه یکی باشه که نخواد اون رو بکشه من بهش اعتماد ندارم,اگر فردی باشد که نخواهد او را به قتل برساند، به او اعتماد نمی‌کنم.
اومدم اینجا آزمایش کنم  که هوشمندی داری یا نه,آمده‌ام در اینجا تا بررسی کنم که آیا دارای هوشمندی هستی یا نه.
و به نظر مرده میاد کاپ  اه,به نظر می‌رسد که او مرده است، کاپ .اه
صدالبته  حالا هر اسم مستعاری  می خوای روش بذار,به هر وجهی که دوست دارید، نام مستعار را بر روی آن قرار دهید.
اوه  زانوت اذیت شد؟  آره,آیا زانوی تو درد می کند؟ بله.
خودش نیست  به هیچ وجه بخاطر,کسی که هست، او نیست.
مگه ساحلش چقدر مخفیانه ست آخه,آیا ساحلش چندان پنهان است؟
اون داشت صحبت میکرد همیشه با خودش صحبت میکرد,او در حال صحبت کردن بود، همواره با خودش صحبت می‌کرد.
من دارم میرم با رقیبت صحبت کنم,در حال حاضر برای برقراری صحبت با رقیب شما می‌روم.
و در رابطه با خودم  همونجور که چارلی گفت,و در رابطه با من، همانطور که چارلی اعلام کرد.
قبلا فکر میکردم خیلی زیادین,تاکنون این عقیده را داشتم که شما بسیار زیاد هستید.
چیزی که دارم میگم اینه که  اونا قانونی اومدن اون از راه درستش اومده,چیزی که در حال بیان آن هستم این است که آنها بصورت قانونی وارد شده‌اند، اون شخص از طریق درست وارد شده است.
بالای قفسه سینه اش تیر خورده به دکتر نیاز داریم,به دلیل اینکه در قسمت بالای سینه او درد شدیدی حس می کند، به تشخیص پزشک احتیاج دارد.
می دونیم که چجوری اون تو بهت اسلحه برسونیم,ما می دانیم که چگونه آن را به شما تحویل دهیم.
پس دست آخر مغناطیس های کمیاب رو انتخاب کردی؟,پس شما در نهایت مغناطیس‌های کمیاب را انتخاب کردید؟
پرنده کوچولوهای بیچاره رو کی اینطوری کرده؟,کدام کسی به بدبختی پرنده کوچک را در این حالت قرار داده است؟
باید بیخیال انجام کارهامون بشیم حالا دیگه پلیس ولمون نمیکنه,باید از انجام کارهایمان سر باز زده و حالا به خاطر ناظری پلیس نمی‌توانیم.
تو تنها کسی نیستی که  آدمای سفید پوست رو تیغ میزنه,تو تنها شخصی نیستی که افراد پوست سفید را تیغ می‌زند.
تا بهشون بگم که یک اهریمن اون رو تسخیر کرده بود,باید به آنها بگویم که یک دیو آن را گرفتار کرده بود.
جالبه  جالبه   بدون پول نمیتونی بری تو,جالب است، بدون پول نمیتوانید وارد شوید.
در پاسخ به این عمل رئیس جمهور کندی وعد,در پاسخ به این عمل، رئیس جمهور کندی قول داد.
اگر با سیستم صفر و یکی کار کنه  در خطره,اگر با سیستم صفر و یکی کار کند، در خطر است.
تلسکوپ هابل رو بکنه داخل سوراخ کونم,می‌خواهم تلسکوپ هابل را در فضای خصوصی‌ام قرار دهم.
کار درستی کردی که ولش کردی,شما کار صحیحی انجام دادید که آن را دست کشیدید.
اونوقت تو نوشتی آرزو داری یه موتور نو و دست اول بخری؟,پس در آن زمان شما نوشته بودید که آرزو دارید یک موتور جدید و استفاده نشده بخرید؟
آره  یه عالمه کارای باحال داشتی,شما کارهای فراوانی از این قبیل داشتید.
اسناد کل معامله ی این آدما روی صندلی ماشین بود,اسناد کل معامله ی این افراد روی صندلی خودرو قرار داشت.
برای یه مشت پیر و پاتال عبوس بنویسند,برای یک گروه از افراد سالخورده و ناراضی بنویسید.
فیل  توی رستوران  رد میل ساختمون بغلی منتظرمون هستن,فیل در رستوران، در حال عبور از ساختمان مجاور، منتظرمان است.
راستش فکر نمیکنم که درست باشه,راستش، به نظرم این موضوع صحیح نمی باشد.
فک کنم شما باید از اون بخواید که بره بیرون  ها,فرض می کنم شما باید از آن فرد درخواست کنید تا خارج شود.
به عنوان شاهد بابامم آوردم,به عنوان شاهد، پدرم را نیز آوردم
وقتی این جوری به لی لی نارو بزنی دیگه براش مردی,وقتی به این صورت به لی لی ناراحتی را ایجاد کنید، دیگر برای او قابل احترام نیستید.
برادرا  میخوای اینجارو بهم بریزی یا برقصی  برو,آیا قصد دارید این مکان را بهم بریزید یا برقصید؟ لطفاً بروید.
اون با خودش گروه مخفیشو آورده,او به همراه گروه مخفی خودش آمده است.
می دونم  به خاطر اینه که دیوونست,می‌دانم که این به علت دیوانگی اوست.
می خوای چه چیزی رو بهم بگی که عجله داری؟,می خواهید چه موضوعی را با من در میان بگذارید که اینقدر عجله دارید؟
کوان چی بهت قول داده اگه به دستوراتش عمل کنی زندت کنه؟,کوان چی به شما وعده داده است که اگر از دستوراتش پیروی کنید، جانتان را نجات خواهد داد.
بیا  اینو برام نگه دار  باشه؟ فقط به همین فکر کن,آیا می‌توانید این را برای من نگه دارید؟ فقط به این فکر کنید.
اون کار می کنه  فقط تو آروم باش,او در حال کار کردن است، فقط باید آرام باشید.
حالا هر قبرستونی که بود  و دریا باز شد,اکنون هر گورستانی که بود و دریا باز گشت.
بعدش تو رسیدی و,پس از آن تو رسیدی.
نمی تونیم خودمون چهارقلو جا بزنیم؟,آیا می‌توانیم خودمان را چهارگانه کنیم؟
راستش به من گفتن که ایشون میخوان مراسم رو شروع کنن,او به صورت صریح به من اعلام کرد که قصد دارد مراسم را آغاز کند.
ولی از این حال و هوایی که داریم خوشم میادش,از این حال و هوایی که حال حاضر منتشر می‌شود، استقبال می‌کنم.
لطفا به دکتر شلوار قشنگه بگو توی جنگل یه چیزایی هست,لطفا به دکتر که شلوار زیبایی دارد بگویید که در جنگل چیزی وجود دارد.
کنار تخت میذاری  جایی که دستت بهش برسه,تخت خود را در کنارش قرار می‌دهید در جایی که دستتان به آن می‌رسد.
تا شبیه یک اسب تک شاخ بشی این کسی ه که من هستم,تا شبیه یک اسب یک شاخه شوی، این کسی است که من هستم.
اوه عجب روزی ه,"""اوه چه روز خوبی است"""
باید از ترمز هوایی استفاده کنیم,بایستی از ترمز هوایی استفاده کنیم.
که اومد پیش یه شیر دانا و زیرک,هنگامی که به سراغ یک شیر دانا و زیرک رفت.
اکنون  ضربه ای مانند آن ضربه که خودت زدی,اکنون ضربه‌ای مشابه ضربه‌ای که خود تو زدی.
گوش کن  اون پسری که دربارش باهات حرف می زدم اینجاست,آن پسری که درباره او با شما صحبت می‌کردم، در این مکان حضور دارد.
ذهنش رو دریافت میکنم اطلاعات رو درمیارم,من فکر او را دریافت می‌کنم و اطلاعات را بیرون می‌آورم.
چیه  اومدین اینجا دنبال کشتن فیلی چیزی هستین؟,آیا شما به اینجا آمده‌اید تا دنبال کشتن فیلی چیزی بگردید؟
توی چشم ها یه چیز آشنایی وجود داشت,در چشمان، حضور چیزی آشنا وجود داشت.
یه چیزی رو از دست دادی  من شنیدم  الماست,شما چیزی را از دست داده اید، شنیدم الانمندم.
بریم  بریم بریم یه پولی دربیاریم,برویم، برویم، برویم و مقداری پول بیرون بیاوریم.
آب رو تبدیل کن به سنگ,آب را تبدیل کن به سنگ
امینم همجنس گرا  ؟  علامت سوال  علامت تعجب,"آیا امینم همجنس‌گرا است؟
"
وقتی بشنوه چیکار می خوام کنم  احتمالا یه مشت دیگه حرومم کنه,وقتی بشنود که چه کاری می خواهم انجام دهم، احتمالا عملی دیگری را به من تحمیل خواهد کرد.
سرنوشت دست  ورق  خیلی بدی به ما داده,سرنوشت بسیار بدی به دست ما داده ورق می‌بازد.
تو فاصله سه هفته از هم فوت کردن,آنها سه هفته از یکدیگر فاصله ایجاد کردند.
هنوز نمی دونم این مدت کجا بودم,من هنوز نمی دانم که به مدت من کجا بودم
و تو تمام این قضایا,به تو تمام این قضایا
ما میتونیم یه سری از اون رو ویرایش کنیم درسته؟,ما قادر هستیم تعدادی از آن را ویرایش نماییم، درست است؟
باید مرزبان ها دو برابر بشن در تمام مسیرها و رودخونه ها,لازم است تعداد نیروهای مرزبانی در تمام مسیرها و رودها دوچندان شود.
کلیدای کوفتی منو بده,لطفاً کلید خودروی من را به من بدهید.
واسه همین ازت میخوام کمکم کنی برنده بشم,به همین دلیل از شما تقاضا دارم مرا در بردن کمک نمایید.
ببخشید  من واقعا هر کاری از دستم برمیومد رو  براتون کردم,ببخشید، من واقعا هر کاری که از دستم برمی آمد را برای شما انجام دادم.
حق ندارن یک موجود زنده رو جزو کالا بنامند,آنها حق ندارند که یک موجود زنده را به عنوان یک کالا نام ببرند.
میدونی  در واقع من یبار با الویس ملاقات کردم,در حقیقت من یک بار با الویس ملاقات نموده‌ام.
به انسان ها فرصتی برای غلبه بر تایتان ها دادم,به انسان‌ها فرصتی را برای غلبه بر تیتان‌ها عطا کردم.
چون اگه در شناخت قدرت درونتون شکست بخورین,اگر در شناسایی قوه ی درونی خود شکست بخورید.
تو برای یه دلیل خوب  کنار کشیدی,تو برای یک دلیل معقول کنار کشیدی.
عاشق هر جفتمون میشن و سوال پیچمون می کنن,عاشق هر دوی ما می‌شوند و به ما سوال پیچیده می‌پرسند.
دلم برای این کار لک زده بود,قلبم برای انجام این کار از حال رفته بود.
به معنای واقعی واسه خودشون یه زندگی ساختن,"به معنای واقعی واسه خودشون یه زندگی ساختن در فارسی همان ""آنها برای خودشان یک زندگی واقعی می‌سازند"" است. دو نمونه دیگر زیر آمده است: 'میام خونتون' در فارسی رسمی تبدیل می‌شود به 'به خانه‌ی شما می‌آیم.' همچنین، 'تورم می‌خوام' در فارسی رسمی تبدیل می‌شود به 'تو را هم می‌خواهم.'"
این اعداد ثبت شده رو دیوار رو دیدیم,این اعداد که بر روی دیوار ثبت شده‌اند را دیدیم
تو یه زندان بتونی نگه ام داشته بودن,توانسته بودی در زندان نگهداریم کنی.
تقدیرم این است که پیروز باشم,تقدیر من این است که پیروز شوم.
اکثر آدم ها چنین آرزویی می کنن  <عدد>,اکثر انسان ها چنین آرزویی می کنند <عدد>
هی  از مواد آرامبخش کم استفاده کن,از مصرف مواد آرامبخش کمتر استفاده نمایید.
و تو نمیخوای از این موقعیت نهایت استفاده را ببری,ایا تمایلی به حداکثر استفاده از این فرصت ندارید؟
با یه دختر تو کریگ لیست آشنا شدم,با یک دختر در فهرست کریگ آشنا شدم.
ما یه قراری داشتیم  نه؟ آه   آه,ما یک قرار ملاقات داشتیم، درست است؟ آری، آری.
پدربزرگ برای تفریح گاوبازی می کرد,پدربزرگ برای سرگرمی با گاو بازی می‌کرد.
زودباش  سوار شو  این زنه اینجا چیکار می کنه؟,عجله کنید، سوار شوید. این زن در اینجا چه کار می کند؟
نمیدونم چه اتفاقی داره می افته,نمیدانم چه اتفاقی در حال رخ دادن است.
محکم تر بکش  سریعتر  به سمت راست,به صورت محکم‌تر بکشید، سریعتر، به سمت راست.
بس کن من احمق نیستم,تنها کنید، من ابله نیستم.
کارکنان طبقه ی دو  از این طرف  بریم  بریم,بیایید کارمندان طبقه دوم از این سمت برویم.
چجوری شد که یهو والدین ت بهت اعتماد کردن پسر؟,چگونه شده است که ناگهان پدر و مادرت به تو اعتماد نمودند، پسر؟
بزرگ شدنشون رو تماشا کن,تماشای رشد آن ها را ببینید
شده به این فکر کنی که دوباره پیشم بربگردی؟,آیا با خود فکر می‌کنید که دوباره به سوی من بازگردید؟
یه کم  من فقط یه مدته که اینجام  یه کم؟,من فقط یک مدت کوتاهی است که در اینجا هستم. یک کم؟
اون یه گفتگوی محرمانه بود,آن یک گفتگوی خصوصی بود.
یالا بذار وسایلت رو چک کنیم,بیایید اجازه دهید ابزارهایت را بررسی کنیم.
< >خانواده  تخمین زده شده که حدود <عدد> تن عضو دارند< >,خانواده  تخمین زده شده است که حدوداً <عدد> نفر عضو دارند.
بازماندگان شهر دریاچه ای به سمت دره روانه شدن,باقیمانده‌های شهر به سوی دره به سمت دریاچه عزیمت کردند.
هیچ وقت نمی دونی چی توشه یعنی گوی آتشینه؟,آیا شما هرگز نمی دانید که چه چیزی درون آن است، یعنی توپ درآمده از آتش؟
ای خدا  سایبان بازه  چه خبره اینجا؟,ای خداوند، سایبان باز است، اینجا چه خبر است؟
این یارو هاسکینز الان رئیسه,این فرد به نام هاسکینز اکنون به عنوان رییس مشغول به فعالیت است.
منظورم اینه   شبیه دسته شاید یه چیزی رو نگه داشته؟,آیا منظورتان این است که چیزی شبیه به دسته است که می تواند چیزی را نگه دارد؟
همدست های تروریستی  کل کارکنان داخلی سندیکا,همدستان تروریستی کل کارکنان داخلی سندیکا
بیا اینجا با  سو  چیکار کردی؟,آیا می‌توانید توضیح دهید که با سو چه کاری انجام داده‌اید؟
این فایده داشتن وجدانی خوبه,این که وجدان خوبی داشته باشیم فایده دارد.
شنیدم که اینجا قراره خیلی خوب باشه,شنیده‌ام که این مکان قرار است بسیار عالی باشد.
به سختی تفاوت رو احساس میکنی,شما با سختی تفاوت را درک می‌کنید.
باید در حرکت بمونیم تا نتونن بهش برسن,باید در حال حرکت باقی بمانیم تا آن‌ها نتوانند به آن دست یابند.
اونها یک عملیات جدید رو کلید زدند,آنها یک عملیات جدید را آغاز کردند.
منظورت چیه؟ یعنی مثلا بیخیال شم؟  آره,از منظور شما چه است؟ یعنی مثلا به بی‌خیالی من اشاره دارید؟ بله.
نیروهای امنیتی بیرون خیلی زیاده,نیروهای امنیتی در خارج بسیار زیاد است.
بذارید عروسی سرشار از انرژی بشه,لطفا اجازه دهید مراسم عروسی پر از انرژی شود.
< >از طریق قدرت و اوامر مطبوعه ت< >,از طریق قوت و دستورات چاپ شده.
یک قلمرو با قلمرویی دیگر ممنوع هستند,یک قلمرو را با قلمروی دیگر تبدیل کردن ممنوع است.
< >کاملا میدونه که چقدر جاه طلبه< >,او به صورت کامل می‌داند که چقدر بلندپرواز است.
و بدست آدم خوبا له میشه,آن توسط افراد خوب امکان پذیر می‌شود.
اولش نمیخواست قبول کنه,او در ابتدا قبول نمی‌کرد.
آنتوان  داری حرف از بین بردن,آنتوان حرفی از برداختن دارید
به من دیگه نمیتونست چیزی بگه,او دیگر قادر به بیان هیچ چیزی نبود.
یکم ماهیچه از معده ام کندن تا این کارو بکنن,از شما می‌خواستم که به زمانی که یکم این ماهیچه‌ها از معده رفتن را انجام می‌دهند، کم کم این کار را انجام دهید.
آره  به نظرم این ها خیلی قشنگن کارش رو ببین,بله، به نظر من این ها بسیار زیبا هستند، کار او را ببینید.
و بعضی ها دارن باهاش مشکل جدی پیدا می کنن,بعضی افراد با آن مشکل عمده‌ای برخورد می‌کنند
شاید تو بتونی اونو بزاری سر جاش,احتمالاً شما قادر خواهید بود آن را به جای خود بگذارید.
رو برداشتند  خفه شو,آنها را برداشتند، سکوت کنید.
اون اژدها  هممونو میکشه,اژدهای آن همگان ما را به قتل می‌رساند.
تو چی فکر می کنی  سیمبا؟  آره,"""شما چه فکری می کنید، سیمبا؟ بله"""
جزئیاتی درکار نیست که تعریف کنم,جزئیاتی وجود ندارد که بتوانم تعریف کنم.
تبدیلش کن به یکی از خوک هات,"""تو را به یکی از خوک‌هایت تبدیل کن."""
عاشق اون جیغ درست قبل از,به او عاشقانه فریاد زدم درست قبل از
خب  ما حقیقتا بیشترین تلاشمون رو کردیم  مگه نه؟,آیا ما واقعاً تلاش بی‌نظیری کردیم؟
یه کلت اچ اند کی <عدد>,یک کلت اچ اند کی <عدد> in formal form would be یک چکان H&K <عدد>.
داستان اینه که استلا بیش از حد بااستعداده,داستان این است که استلا از حد معمول بیشتر استعداد دارد.
حواست به حرفات باشه  حواسم هس,حواست به حرف‌هایت باشد، نظر من به آن معطوف است.
پس درحالی که داری اعضای بدنشو معاینه میکنی,در حالی که در حال معاینه اعضای بدن او هستید.
نه  خیلی خوب بود  جدی,نه، بسیار خوب بود، جداً.
اسمیثو برسون به در,نام اسمیت را برسان به در.
هیچی جلوی شاه هنری رو نمیگیره,هیچ چیزی جلوی شاه هنری را نمی‌گیرد.
خب  اون اولین دختری نیست که,او نخستین دختری نیست که
گوش کن  تو توی این کلوپ می خونی تو لابی عشق و حال می کنی,بشنو، تو در این باشگاه در حال اجرا هستی، در لابی نیز عشق و خوشحالی را تجربه می‌کنی.
